anonymous,author_shopid,author_username,cat_id,cmtid,comment,count_rating_with_image,count_with_context,ctime,editable,item_id,mtime,orderid,product_title,rating,rating_count0,rating_count1,rating_count2,rating_count3,rating_count4,rating_count5,rating_star,shop_id,userid
True,48257607.0,v*****a,2902.0,2318772177.0,bagus mantap keren wow gila banget amazing baik trusted cepat 100 persen bagus mantap keren wow gila banget amazing good trusted cepat 100 persen bagus mantap keren wow gila banget amazing baik trusted cepat 100 persen bagus mantap keren wow gila banget amazing baik trusted cepat 100 persen bagus ok,922.0,2182.0,1588252177.0,1.0,2767211185.0,1588252177.0,,Nord VPN Lifetime - Bergaransi - Termurah - Bypass Netflix - VPN Netflix - VPN Indihome/Telk,1.0,7274.0,89.0,15.0,44.0,88.0,9088.0,5.0,15168157.0,48258995.0
,,,,,,,,,,,,,,,,,,,,,,,
True,18552803.0,o*****e,2902.0,2392604649.0,"penjual fast respon, baik banget, langsung bisa, murah bergaransi, mudah-mudahan selalu awet. Semoga tokonya selalu berkah dan amanah❣️",922.0,2182.0,1589501819.0,1.0,2767211185.0,1589501819.0,,Nord VPN Lifetime - Bergaransi - Termurah - Bypass Netflix - VPN Netflix - VPN Indihome/Telk,1.0,7274.0,89.0,15.0,44.0,88.0,9088.0,5.0,15168157.0,18554139.0
,,,,,,,,,,,,,,,,,,,,,,,
True,4323555.0,m*****y,3404.0,2397751204.0,"pelayanan baik sejauh ini gak ada kendala, semoga kedepannya lancar terus",842.0,1156.0,1589556836.0,1.0,4424230615.0,1589556836.0,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1.0,4661.0,7.0,0.0,2.0,6.0,7804.0,5.0,43809563.0,4324839.0
,,,,,,,,,,,,,,,,,,,,,,,
False,23401326.0,putriyulidha,3404.0,2404364139.0,"Sudah 2 x ini beli di sini 
Recomended banget ndak trouble sudah 2 device ",842.0,1156.0,1589681713.0,1.0,4424230615.0,1589681713.0,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1.0,4661.0,7.0,0.0,2.0,6.0,7804.0,5.0,43809563.0,23402662.0
,,,,,,,,,,,,,,,,,,,,,,,
False,35389676.0,raphaelaquinta,3404.0,2369485747.0,"Seller ramah banget dibantuin ampe mengerti
Bagus langsung bsa dipke 
Thank you ",842.0,1156.0,1589162015.0,1.0,4424230615.0,1589162015.0,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1.0,4661.0,7.0,0.0,2.0,6.0,7804.0,5.0,43809563.0,35391060.0
,,,,,,,,,,,,,,,,,,,,,,,
False,18603627.0,agnesahmad02,3404.0,2461854497.0,Selamet fast respons ..bener bener recomended langsung bisa nonton....,842.0,1156.0,1590752652.0,1.0,4424230615.0,1590752652.0,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1.0,4661.0,7.0,0.0,2.0,6.0,7804.0,5.0,43809563.0,18604963.0
,,,,,,,,,,,,,,,,,,,,,,,
False,16191982.0,rrp0811,2678.0,2361588821.0,"Ini paket pertamaku beli disini.
Cepat
Tanggap
Akurat
Tepat
Bagus
Oke
Semoga aja tanpa ada masalah ditengah jalan.

JsjsjjdjdhshwjshzvzvvzhajaoaozoozooaooeorodozbbzbzbajzjbzbzbzbzbBzbxbnakzlzkbdbskzkxbsboazkebbdjawbdboXbjslcksnabbzbjajzbsbznskLakzbxbzbajsjsjkxjxxbsbebbxbxbxbsbwjaoaowopspxllLNcbsbjwj",284.0,680.0,1589011931.0,1.0,4822872755.0,1589011931.0,,NETFLIX PREMIUM 1 BULAN 4K ANTI ON,1.0,1316.0,2.0,4.0,1.0,44.0,3584.0,5.0,134248812.0,16193318.0
,,,,,,,,,,,,,,,,,,,,,,,
True,1898343.0,c*****s,2678.0,2350178125.0,"baguss,jalan semua,cuma vpn nord di laptop gabisa pake server indonesia,sellernya fast respond tapi agak cuek,saya jadi takut buat nanya2,tapi overall bagus,recommended ",284.0,680.0,1588842955.0,1.0,4822872755.0,1588842955.0,,NETFLIX PREMIUM 1 BULAN 4K ANTI ON,1.0,1316.0,2.0,4.0,1.0,44.0,3584.0,5.0,134248812.0,1899725.0
,,,,,,,,,,,,,,,,,,,,,,,
